"time","HEOG"
2.472,0.072762
2.474,0.0536145
2.476,0.0612735
2.478,0.0536145
2.48,0.065103
2.482,0.0612735
2.484,0.0612735
2.486,0.057444
2.488,0.0689325
2.49,0.065103
2.492,0.057444
2.494,0.057444
2.496,0.0459555
2.498,0.049785
2.5,0.049785
2.502,0.065103
2.504,0.065103
2.506,0.0689325
2.508,0.0689325
2.51,0.057444
2.512,0.0612735
2.514,0.0689325
2.516,0.0765915
2.518,0.072762
2.52,0.084252
2.522,0.0804225
2.524,0.084252
2.526,0.0880815
2.528,0.091911
2.53,0.091911
2.532,0.0957405
2.534,0.107229
2.536,0.107229
2.538,0.114888
2.54,0.107229
2.542,0.107229
2.544,0.0957405
2.546,0.0957405
2.548,0.09957
2.55,0.1110585
2.552,0.107229
2.554,0.0957405
2.556,0.09957
2.558,0.09957
2.56,0.0957405
2.562,0.09957
2.564,0.0880815
2.566,0.0880815
2.568,0.091911
2.57,0.0880815
2.572,0.091911
2.574,0.09957
2.576,0.09957
2.578,0.0957405
2.58,0.091911
2.582,0.0880815
2.584,0.0804225
2.586,0.0765915
2.588,0.072762
2.59,0.0804225
2.592,0.0804225
2.594,0.084252
2.596,0.0880815
2.598,0.091911
2.6,0.091911
2.602,0.084252
2.604,0.084252
2.606,0.072762
2.608,0.072762
2.61,0.084252
2.612,0.084252
2.614,0.084252
2.616,0.0880815
2.618,0.0804225
2.62,0.0804225
2.622,0.065103
2.624,0.0765915
2.626,0.0689325
2.628,0.072762
2.63,0.0689325
2.632,0.072762
2.634,0.0612735
2.636,0.0612735
2.638,0.0689325
2.64,0.084252
2.642,0.084252
2.644,0.065103
2.646,0.065103
2.648,0.0765915
2.65,0.0765915
2.652,0.084252
2.654,0.084252
2.656,0.0689325
2.658,0.072762
2.66,0.065103
2.662,0.0689325
2.664,0.0765915
2.666,0.0765915
2.668,0.0765915
2.67,0.0880815
2.672,0.0880815
2.674,0.0765915
2.676,0.065103
2.678,0.0612735
2.68,0.057444
2.682,0.065103
2.684,0.049785
2.686,0.0536145
2.688,0.049785
2.69,0.0459555
2.692,0.049785
2.694,0.0382965
2.696,0.0459555
2.698,0.0459555
2.7,0.042126
2.702,0.0536145
2.704,0.0459555
2.706,0.0536145
2.708,0.0459555
2.71,0.0459555
2.712,0.0459555
2.714,0.0536145
2.716,0.0536145
2.718,0.0612735
2.72,0.049785
2.722,0.0459555
2.724,0.0536145
2.726,0.042126
2.728,0.042126
2.73,0.042126
2.732,0.034467
2.734,0.042126
2.736,0.0306375
2.738,0.042126
2.74,0.057444
2.742,0.0459555
2.744,0.057444
2.746,0.0536145
2.748,0.057444
2.75,0.049785
2.752,0.057444
2.754,0.0459555
2.756,0.0536145
2.758,0.0536145
2.76,0.0536145
2.762,0.0536145
2.764,0.042126
2.766,0.049785
2.768,0.034467
2.77,0.0382965
2.772,0.0268065
2.774,0.0306375
2.776,0.022977
2.778,0.022977
2.78,0.0306375
2.782,0.022977
2.784,0.0191475
2.786,0.0306375
2.788,0.0268065
2.79,0.0382965
2.792,0.0306375
2.794,0.042126
2.796,0.034467
2.798,0.0459555
2.8,0.0459555
2.802,0.042126
2.804,0.042126
2.806,0.042126
2.808,0.042126
2.81,0.042126
2.812,0.0382965
2.814,0.0382965
2.816,0.0306375
2.818,0.0382965
2.82,0.0268065
2.822,0.034467
2.824,0.0268065
2.826,0.0268065
2.828,0.0382965
2.83,0.0382965
2.832,0.0306375
2.834,0.042126
2.836,0.034467
2.838,0.042126
2.84,0.0459555
2.842,0.0382965
2.844,0.0459555
2.846,0.0382965
2.848,0.0382965
2.85,0.042126
2.852,0.042126
2.854,0.042126
2.856,0.0382965
2.858,0.0536145
2.86,0.049785
2.862,0.042126
2.864,0.0382965
2.866,0.042126
2.868,0.0306375
