"time","HEOG"
2.576,0.06638
2.578,0.063827
2.58,0.061274
2.582,0.058721
2.584,0.053615
2.586,0.051061
2.588,0.048508
2.59,0.053615
2.592,0.053615
2.594,0.056168
2.596,0.058721
2.598,0.061274
2.6,0.061274
2.602,0.056168
2.604,0.056168
2.606,0.048508
2.608,0.048508
2.61,0.056168
2.612,0.056168
2.614,0.056168
2.616,0.058721
2.618,0.053615
2.62,0.053615
2.622,0.043402
2.624,0.051061
2.626,0.045955
2.628,0.048508
2.63,0.045955
2.632,0.048508
2.634,0.040849
2.636,0.040849
2.638,0.045955
2.64,0.056168
2.642,0.056168
2.644,0.043402
2.646,0.043402
2.648,0.051061
2.65,0.051061
2.652,0.056168
2.654,0.056168
2.656,0.045955
2.658,0.048508
2.66,0.043402
2.662,0.045955
2.664,0.051061
2.666,0.051061
2.668,0.051061
2.67,0.058721
2.672,0.058721
2.674,0.051061
2.676,0.043402
2.678,0.040849
2.68,0.038296
2.682,0.043402
2.684,0.03319
2.686,0.035743
2.688,0.03319
2.69,0.030637
2.692,0.03319
2.694,0.025531
2.696,0.030637
2.698,0.030637
2.7,0.028084
2.702,0.035743
2.704,0.030637
2.706,0.035743
2.708,0.030637
2.71,0.030637
2.712,0.030637
2.714,0.035743
2.716,0.035743
2.718,0.040849
2.72,0.03319
2.722,0.030637
2.724,0.035743
2.726,0.028084
2.728,0.028084
2.73,0.028084
2.732,0.022978
2.734,0.028084
2.736,0.020425
2.738,0.028084
2.74,0.038296
2.742,0.030637
2.744,0.038296
2.746,0.035743
2.748,0.038296
2.75,0.03319
2.752,0.038296
2.754,0.030637
2.756,0.035743
2.758,0.035743
2.76,0.035743
2.762,0.035743
2.764,0.028084
2.766,0.03319
2.768,0.022978
2.77,0.025531
2.772,0.017871
2.774,0.020425
2.776,0.015318
2.778,0.015318
2.78,0.020425
2.782,0.015318
2.784,0.012765
2.786,0.020425
2.788,0.017871
2.79,0.025531
2.792,0.020425
2.794,0.028084
2.796,0.022978
